foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
bk1,Burger,Classic Cheeseburger,928.86,4.70,200,1,11,1
bk2,Burger,BBQ Bacon Burger,994.84,4.90,450,0,10,1
bk3,Burger,Mushroom Swiss Burger,1059.79,4.60,350,1,10,1
bk4,Burger,Black Bean Burger,854.88,4.40,400,1,8,1
bk5,Burger,Grilled Chicken Burger,928.86,4.54,425,0,8,1
bk6,Appetizer,Spinach Artichoke Dip,664.84,4.50,175,1,6,2
bk7,Appetizer,Bruschetta,517.28,4.20,225,1,8,2
bk8,Appetizer,Chicken Wings,735.12,4.60,275,0,9,2
bk9,Appetizer,Mozzarella Sticks,587.16,4.30,325,1,11,2
bk10,Appetizer,Shrimp Cocktail,809.01,4.80,275,0,12,2
bk11,Drink,Classic Mojito,664.84,4.30,280,1,13,3
bk12,Drink,Strawberry Daiquiri,735.12,4.60,200,1,14,3
bk13,Drink,Margarita,587.16,4.10,180,1,11,3
bk14,Drink,Old Fashioned,809.01,4.70,190,1,12,3
bk15,Drink,Sparkling Water,293.97,4.00,176,1,12,3
bk16,Dessert,New York Cheesecake,517.28,4.40,220,0,13,4
bk17,Dessert,Molten Chocolate Lava Cake,587.16,4.80,226,1,14,4
bk18,Dessert,Key Lime Pie,440.61,4.30,125,0,11,4
bk19,Dessert,Tiramisu,664.84,4.70,138,0,10,4
bk20,Dessert,Apple Crisp,517.28,4.50,183,1,8,4
